vendor,family,source,dof,link_count,fidelity_class,scale_class,mesh_bytes_total,aabb_x_m,aabb_y_m,aabb_z_m,joint_range_total_rad,joint_range_total_m,license,dedup_group_size,path
shadow_robot,shadow,mujoco_menagerie,24,26,medium,tabletop,807036,0.416,0.1165,0.0186,32.323550999999995,0.0,Apache-2.0 (Menagerie: shadow_hand),4,mujoco_menagerie/shadow_hand/left_hand.xml
softbank,nao,bullet3,25,79,medium,tabletop,915176,0.268,0.276,0.5694,56.878775600000004,0.0,zlib (most files); see LICENSE.txt for exceptions,1,bullet3/data/humanoid/nao.urdf
stanford,tidybot,mujoco_menagerie,3,2,low,unknown,73632,0.0,0.0,0.0,6.283186,0.0,MIT (Menagerie: stanford_tidybot),2,mujoco_menagerie/stanford_tidybot/base.xml
stanford,tidybot,mujoco_menagerie,18,23,medium,fullsize,2394336,0.1364,0.0249,1.6343,55.63999794566,0.0,MIT (Menagerie: stanford_tidybot),2,mujoco_menagerie/stanford_tidybot/tidybot.xml
staubli,staubli,urdf_files_dataset,6,10,medium,fullsize,1862338,0.0,0.02,1.045,39.33099469369222,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/staubli/staubli_tx2_60_support/urdf/tx2_60.urdf
staubli,staubli,urdf_files_dataset,6,10,medium,fullsize,1798988,0.0,0.02,1.295,39.33099469369222,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/staubli/staubli_tx2_60_support/urdf/tx2_60l.urdf
staubli,staubli,urdf_files_dataset,6,10,medium,fullsize,2748838,0.05,0.05,1.428,39.4880743263717,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/staubli/staubli_tx2_90_support/urdf/tx2_90.urdf
staubli,staubli,urdf_files_dataset,6,10,medium,fullsize,2791388,0.05,0.05,1.628,39.4880743263717,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/staubli/staubli_tx2_90_support/urdf/tx2_90l.urdf
staubli,staubli,urdf_files_dataset,6,10,medium,fullsize,2878388,0.05,0.05,1.878,39.4880743263717,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/staubli/staubli_tx2_90_support/urdf/tx2_90xl.urdf
staubli,staubli,urdf_files_dataset,6,10,medium,fullsize,1880788,0.0,0.02,1.045,39.008108782073265,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/staubli/staubli_tx60_support/urdf/tx60.urdf
staubli,staubli,urdf_files_dataset,6,10,medium,fullsize,1745488,0.0,0.02,1.295,39.35717463247213,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/staubli/staubli_tx60_support/urdf/tx60l.urdf
staubli,staubli,urdf_files_dataset,6,10,medium,fullsize,2051238,0.05,0.05,1.428,39.4880743263717,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/staubli/staubli_tx90_support/urdf/tx90.urdf
staubli,staubli,urdf_files_dataset,6,10,medium,fullsize,1883088,0.05,0.05,1.628,39.4880743263717,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/staubli/staubli_tx90_support/urdf/tx90l.urdf
staubli,staubli,urdf_files_dataset,6,10,medium,fullsize,1909838,0.05,0.05,1.878,39.4880743263717,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/staubli/staubli_tx90_support/urdf/tx90xl.urdf
tetheria,aero_hand,mujoco_menagerie,16,23,medium,compact,1521360,0.2004,0.1523,0.0686,24.692399999999996,0.0,Apache-2.0 (Menagerie: tetheria_aero_hand_open),3,mujoco_menagerie/tetheria_aero_hand_open/left_hand.xml
the_robot_studio,so101,mujoco_menagerie,6,9,high,tabletop,6260736,0.3166,0.0359,0.2555,21.4340614,0.0,Apache-2.0 (Menagerie: robotstudio_so101),3,mujoco_menagerie/robotstudio_so101/so101.xml
the_robot_studio,trs_so_arm,mujoco_menagerie,6,8,medium,tabletop,1100808,0.0,0.4078,0.119,21.472,0.0,Apache-2.0 (Menagerie: trs_so_arm100),2,mujoco_menagerie/trs_so_arm100/so_arm100.xml
trossen,vx300,mujoco_menagerie,8,11,medium,tabletop,500280,0.498,0.0,0.427,29.42617,0.07200000000000001,BSD-3-Clause (Menagerie: trossen_vx300s),2,mujoco_menagerie/trossen_vx300s/vx300s.xml
trossen,widowx,bullet3,7,10,low,tabletop,171556,0.3048,0.0,0.267,22.842,0.027,zlib (most files); see LICENSE.txt for exceptions,1,bullet3/data/widowx/widowx.urdf
trossen,wx250,mujoco_menagerie,8,10,low,tabletop,196692,0.4308,0.0,0.3607,30.36865,0.044,BSD-3-Clause (Menagerie: trossen_wx250s),2,mujoco_menagerie/trossen_wx250s/wx250s.xml
trossen,wxai,mujoco_menagerie,16,19,medium,fullsize,750084,1.403,0.046,0.209,48.345639999999996,0.176,BSD-3-Clause (Menagerie: trossen_wxai),2,mujoco_menagerie/trossen_wxai/trossen_ai_bimanual.xml
uc_berkeley,berkeley_humanoid,mujoco_menagerie,12,14,high,tabletop,9772560,0.0635,0.32,0.5031,18.151436000000004,0.0,BSD-3-Clause (Menagerie: berkeley_humanoid),2,mujoco_menagerie/berkeley_humanoid/berkeley_humanoid.xml
ufactory,lite6,mujoco_menagerie,6,8,medium,tabletop,1263504,0.087,0.0,0.4437,33.711015,0.0,BSD-3-Clause (Menagerie: ufactory_lite6),2,mujoco_menagerie/ufactory_lite6/lite6.xml
ufactory,lite6,mujoco_menagerie,8,11,medium,tabletop,1434336,0.087,0.0,0.4437,33.711015,0.01618,BSD-3-Clause (Menagerie: ufactory_lite6),2,mujoco_menagerie/ufactory_lite6/lite6_gripper_wide.xml
ufactory,xarm,bullet3,6,8,medium,tabletop,2571738,0.207,0.0,0.5515,50.80605449667,0.0,zlib (most files); see LICENSE.txt for exceptions,1,bullet3/examples/pybullet/gym/pybullet_data/xarm/xarm6_robot.urdf
ufactory,xarm,bullet3,6,8,medium,tabletop,2571738,0.207,0.0,0.5515,50.80605449667,0.0,zlib (most files); see LICENSE.txt for exceptions,1,bullet3/examples/pybullet/gym/pybullet_data/xarm/xarm6_robot_white.urdf
ufactory,xarm,mujoco_menagerie,6,8,medium,compact,917748,0.0,0.1409,0.1011,5.1,0.0,BSD-3-Clause (Menagerie: ufactory_xarm7),1,mujoco_menagerie/ufactory_xarm7/hand.xml
ufactory,xarm,bullet3,7,15,high,tabletop,5045676,0.207,0.1409,0.5515,51.65605449667,0.0,zlib (most files); see LICENSE.txt for exceptions,1,bullet3/examples/pybullet/gym/pybullet_data/xarm/xarm6_with_gripper.urdf
ufactory,xarm,mujoco_menagerie,7,9,medium,tabletop,744156,0.206,0.0,0.56,38.239684,0.0,BSD-3-Clause (Menagerie: ufactory_xarm7),1,mujoco_menagerie/ufactory_xarm7/xarm7_nohand.xml
ufactory,xarm,robosuite,7,10,medium,tabletop,744156,0.206,0.0,0.56,38.239684,0.0,"MIT (Stanford VLL + UT Robot Perception, 2022)",1,robosuite/robosuite/models/assets/robots/xarm7/robot.xml
ufactory,xarm,mujoco_menagerie,13,16,medium,tabletop,1661904,0.206,0.1409,0.56,43.339684000000005,0.0,BSD-3-Clause (Menagerie: ufactory_xarm7),2,mujoco_menagerie/ufactory_xarm7/xarm7.xml
unitree,a1,urdf_files_dataset,6,10,low,fullsize,199388,1.29,0.0,1.565,40.32827499999999,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/fanuc/fanuc_m20ia_support/urdf/m20ia10l.urdf
unitree,a1,bullet3,12,22,high,tabletop,6033092,0.366,0.2641,0.4,34.487706019428,0.0,zlib (most files); see LICENSE.txt for exceptions,1,bullet3/examples/pybullet/gym/pybullet_data/a1/a1.urdf
unitree,a1,mujoco_menagerie,12,14,medium,tabletop,3799680,0.366,0.2641,0.2,34.48769600000001,0.0,BSD-3-Clause (Menagerie: unitree_a1),2,mujoco_menagerie/unitree_a1/a1.xml
unitree,aliengo,bullet3,12,18,medium,tabletop,890381,0.4798,0.268,0.5,18.291050560928,0.0,zlib (most files); see LICENSE.txt for exceptions,1,bullet3/examples/pybullet/gym/pybullet_data/aliengo/aliengo.urdf
unitree,g1,mujoco_menagerie,29,31,high,fullsize,7079544,0.2037,0.2973,1.0486,102.68079399999998,0.0,BSD-3-Clause (Menagerie: unitree_g1),4,mujoco_menagerie/unitree_g1/g1.xml
unitree,g1,mujoco_menagerie,43,45,high,fullsize,11329080,0.3687,0.3065,1.0486,127.16779799999996,0.0,BSD-3-Clause (Menagerie: unitree_g1),2,mujoco_menagerie/unitree_g1/g1_with_hands.xml
unitree,go1,mujoco_menagerie,12,14,medium,tabletop,3715452,0.3762,0.2535,0.213,35.372,0.0,BSD-3-Clause (Menagerie: unitree_go1),2,mujoco_menagerie/unitree_go1/go1.xml
unitree,go2,mujoco_menagerie,12,14,medium,tabletop,4661364,0.3868,0.284,0.213,36.16336,0.0,BSD-3-Clause (Menagerie: unitree_go2),4,mujoco_menagerie/unitree_go2/go2.xml
unitree,h1,mujoco_menagerie,19,21,high,fullsize,5153592,0.0395,0.4271,1.4131,59.42000000000001,0.0,BSD-3-Clause (Menagerie: unitree_h1),2,mujoco_menagerie/unitree_h1/h1.xml
unitree,laikago,bullet3,12,13,medium,tabletop,3054489,0.2728,0.2083,0.5795,0.0,0.0,zlib (most files); see LICENSE.txt for exceptions,1,bullet3/examples/pybullet/gym/pybullet_data/laikago/laikago.urdf
unitree,laikago,bullet3,12,17,medium,tabletop,3054489,0.2728,0.4583,0.6015,0.0,0.0,zlib (most files); see LICENSE.txt for exceptions,1,bullet3/examples/pybullet/gym/pybullet_data/laikago/laikago_toes.urdf
unitree,laikago,bullet3,12,17,medium,tabletop,3054489,0.2728,0.4583,0.6015,35.13680000000001,0.0,zlib (most files); see LICENSE.txt for exceptions,1,bullet3/examples/pybullet/gym/pybullet_data/laikago/laikago_toes_limits.urdf
